"team","latitude","longitude","timezone"
"ARI",33.5276,-112.2626,"Mountain"
"ATL",33.7554,-84.4011,"Eastern"
"BAL",39.2780,-76.6227,"Eastern"
"BUF",42.7738,-78.7868,"Eastern"
"CAR",35.2258,-80.8528,"Eastern"
"CHI",41.8623,-87.6167,"Central"
"CIN",39.0954,-84.5160,"Eastern"
"CLE",41.5061,-81.6995,"Eastern"
"DAL",32.7473,-97.0945,"Central"
"DEN",39.7439,-105.0201,"Mountain"
"DET",42.3400,-83.0456,"Eastern"
"GB",44.5013,-88.0622,"Central"
"HOU",29.6847,-95.4107,"Central"
"IND",39.7601,-86.1639,"Eastern"
"JAX",30.3239,-81.6373,"Eastern"
"KC",39.0489,-94.4839,"Central"
"LAC",33.9534,-118.3392,"Pacific"
"LAR",33.9534,-118.3392,"Pacific"
"LV",36.0908,-115.1830,"Pacific"
"MIA",25.9580,-80.2389,"Eastern"
"MIN",44.9737,-93.2576,"Central"
"NE",42.0909,-71.2643,"Eastern"
"NO",29.9511,-90.0812,"Central"
"NYG",40.8135,-74.0745,"Eastern"
"NYJ",40.8135,-74.0745,"Eastern"
"PHI",39.9008,-75.1675,"Eastern"
"PIT",40.4468,-80.0158,"Eastern"
"SEA",47.5952,-122.3316,"Pacific"
"SF",37.4030,-121.9700,"Pacific"
"TB",27.9759,-82.5033,"Eastern"
"TEN",36.1665,-86.7713,"Central"
"WAS",38.9078,-76.8644,"Eastern"
