team,latitude,longitude,timezone
ANA,33.8079,-117.8763,Pacific
BOS,42.3662,-71.0621,Eastern
BUF,42.8750,-78.8766,Eastern
CAR,35.8033,-78.7219,Eastern
CBJ,39.9693,-83.0060,Eastern
CGY,51.0374,-114.0519,Mountain
CHI,41.8807,-87.6742,Central
COL,39.7487,-105.0077,Mountain
DAL,32.7904,-96.8103,Central
DET,42.3411,-83.0551,Eastern
EDM,53.5461,-113.4970,Mountain
FLA,26.1584,-80.3257,Eastern
LAK,34.0430,-118.2673,Pacific
MIN,44.9448,-93.1012,Central
MTL,45.4960,-73.5690,Eastern
NJD,40.7335,-74.1710,Eastern
NSH,36.1591,-86.7785,Central
NYI,40.7229,-73.5904,Eastern
NYR,40.7505,-73.9934,Eastern
OTT,45.2969,-75.9272,Eastern
PHI,39.9012,-75.1719,Eastern
PIT,40.4390,-79.9890,Eastern
SEA,47.6221,-122.3540,Pacific
SJS,37.3328,-121.9011,Pacific
STL,38.6268,-90.2026,Central
TBL,27.9427,-82.4518,Eastern
TOR,43.6435,-79.3791,Eastern
UTA,40.7683,-111.9011,Mountain
VAN,49.2777,-123.1080,Pacific
VGK,36.1029,-115.1783,Pacific
WPG,49.8927,-97.1430,Central
WSH,38.8981,-77.0209,Eastern
